,rouge_1,rouge_2,rouge_l,bleurt
0,0.5304347826086956,0.32456140350877194,0.4,-0.5280005931854248
1,0.6116504854368933,0.38235294117647056,0.38834951456310685,-0.2614858150482178
2,0.3963133640552996,0.2511627906976744,0.3317972350230414,-0.47671234607696533
3,0.46226415094339623,0.2761904761904762,0.3679245283018868,-0.2374030500650406
4,0.49681528662420377,0.2967741935483871,0.42038216560509556,-0.12331460416316986
5,0.5370370370370371,0.35514018691588783,0.3518518518518518,-0.4458479881286621
6,0.42328042328042326,0.1818181818181818,0.30687830687830686,-0.3851950168609619
7,0.49586776859504134,0.31666666666666665,0.39669421487603307,-0.25737428665161133
8,0.5585585585585585,0.30909090909090914,0.39639639639639646,-0.44816792011260986
9,0.4838709677419355,0.2113821138211382,0.33870967741935487,-0.2696766257286072
10,0.4105960264900662,0.19333333333333333,0.29139072847682124,-0.47503310441970825
11,0.5178571428571428,0.36036036036036034,0.39285714285714285,-0.1907554715871811
12,0.375,0.2621359223300971,0.2980769230769231,-0.4421805143356323
13,0.4720496894409938,0.289308176100629,0.38509316770186336,-0.530595064163208
14,0.5523809523809524,0.4807692307692307,0.40952380952380946,-0.20770780742168427
15,0.5221674876847291,0.3283582089552239,0.33497536945812806,-0.1870250254869461
16,0.5478260869565218,0.3596491228070175,0.42608695652173917,-0.3084745407104492
17,0.31,0.2121212121212121,0.28,-0.561909556388855
18,0.3617021276595745,0.25806451612903225,0.3191489361702128,-0.41613078117370605
19,0.5757575757575757,0.4285714285714286,0.4444444444444445,-0.34506165981292725
20,0.5726872246696035,0.3022222222222223,0.3964757709251101,-0.18007461726665497
21,0.5377358490566038,0.2857142857142857,0.3773584905660377,-0.2924737334251404
22,0.5206611570247934,0.3416666666666667,0.371900826446281,-0.43449991941452026
23,0.4205128205128205,0.25906735751295334,0.3282051282051282,-0.28233402967453003
24,0.43930635838150295,0.33918128654970764,0.4046242774566473,-0.48098254203796387
25,0.4779411764705882,0.25925925925925924,0.35294117647058826,-0.36709821224212646
26,0.5535714285714286,0.34234234234234234,0.4107142857142857,-0.17066876590251923
27,0.5492227979274612,0.32460732984293195,0.40414507772020725,-0.23013709485530853
28,0.46296296296296297,0.22429906542056074,0.34259259259259267,-0.26325106620788574
29,0.5661764705882353,0.4222222222222222,0.4411764705882353,-0.39911091327667236
30,0.5811965811965812,0.4482758620689656,0.4786324786324786,-0.11884371936321259
31,0.4976525821596244,0.31279620853080564,0.38497652582159625,-0.21012435853481293
32,0.3283582089552239,0.21105527638190952,0.26865671641791045,-0.4574682116508484
33,0.5555555555555555,0.2921348314606742,0.3666666666666667,-0.2510852813720703
34,0.5882352941176471,0.3557312252964427,0.3764705882352941,-0.29048049449920654
35,0.6010362694300518,0.4502617801047121,0.3937823834196891,-0.28641414642333984
36,0.5209003215434084,0.36893203883495146,0.4115755627009647,-0.6731290817260742
37,0.41489361702127664,0.24731182795698922,0.36170212765957444,-0.34576231241226196
38,0.3307692307692308,0.25581395348837205,0.29230769230769227,-0.544439435005188
39,0.4786324786324786,0.3103448275862069,0.376068376068376,-0.5110743045806885
40,0.530232558139535,0.32863849765258213,0.39069767441860465,-0.23163481056690216
41,0.4782608695652173,0.3157894736842105,0.34782608695652173,-0.5022968649864197
42,0.5142857142857142,0.2788461538461538,0.37142857142857144,-0.213684543967247
43,0.26262626262626265,0.17346938775510204,0.22222222222222224,-0.6271893978118896
44,0.5612244897959183,0.40206185567010305,0.4285714285714286,-0.2038004845380783
45,0.5056603773584906,0.2737642585551331,0.3547169811320755,-0.5080753564834595
46,0.48510638297872344,0.26609442060085836,0.3574468085106383,-0.361045777797699
47,0.4360189573459715,0.3157894736842105,0.35071090047393366,-0.3345155119895935
48,0.5829145728643216,0.3959390862944162,0.39195979899497485,-0.3165225386619568
49,0.5349794238683128,0.3900414937759336,0.4115226337448559,-0.1841198056936264
50,0.496,0.3870967741935484,0.43999999999999995,-0.37112605571746826
51,0.4782608695652173,0.3157894736842105,0.34782608695652173,-0.5022968649864197
52,0.4461538461538461,0.2713178294573643,0.3,-0.3169269561767578
53,0.35121951219512193,0.22660098522167488,0.32195121951219513,-0.42712122201919556
54,0.5,0.3693693693693693,0.33928571428571425,-0.2615518569946289
55,0.5056603773584906,0.2737642585551331,0.3547169811320755,-0.5080753564834595
56,0.5045045045045046,0.29090909090909095,0.3783783783783784,-0.2949119806289673
57,0.5064377682403434,0.29437229437229434,0.3862660944206009,-0.41884708404541016
